Namespace(alive_time=300, middlebox_name='Middlebox device')
Middlebox device
Middlebox device socket is created
Middlebox device socket is succesfully initialized and ready.
Middlebox device is listening...

Conneted with 127.0.0.1 : 56906
Conneted with 127.0.0.1 : 56907
     Receiving:   78 |         1557134347.028952 |  56906 |    NORMAL | Guard
     Receiving:   84 |        1557134350.6761613 |  56907 |    NORMAL | Camera
Conneted with 127.0.0.1 : 56910
     Receiving:   46 |         1557134352.528912 |  56906 |    NORMAL | Guard
     Receiving:   36 |        1557134354.2814586 |  56910 |    NORMAL | Sensor
     Receiving:   82 |         1557134354.838036 |  56907 |    NORMAL | Camera
     Receiving:   82 |        1557134357.2123866 |  56906 |    NORMAL | Guard
     Receiving:    8 |         1557134359.614096 |  56907 |    NORMAL | Camera
     Receiving:   80 |        1557134359.9721115 |  56910 |    NORMAL | Sensor
     Receiving:   18 |        1557134362.4952688 |  56906 |    NORMAL | Guard
     Receiving:   85 |        1557134363.9763033 |  56910 |    NORMAL | Sensor
     Receiving:   26 |         1557134364.532814 |  56907 |    NORMAL | Camera
     Receiving:   26 |          1557134366.59737 |  56906 |    NORMAL | Guard
     Receiving:   38 |        1557134368.6474774 |  56910 |    NORMAL | Sensor
     Receiving:   99 |        1557134369.9548283 |  56907 |    NORMAL | Camera
     Receiving:   30 |        1557134371.4070268 |  56906 |    NORMAL | Guard
     Receiving:   81 |        1557134372.0616882 |  56910 |    NORMAL | Sensor
     Receiving:   74 |        1557134375.4731398 |  56907 |    NORMAL | Camera
     Receiving:   56 |         1557134377.394147 |  56906 |    NORMAL | Guard
     Receiving:   43 |        1557134379.8591678 |  56907 |    NORMAL | Camera
     Receiving:   19 |        1557134381.5034807 |  56906 |    NORMAL | Guard
     Receiving:   67 |          1557134384.75381 |  56907 |    NORMAL | Camera
     Receiving:   62 |         1557134385.626192 |  56906 |    NORMAL | Guard
     Receiving:   83 |         1557134389.219048 |  56907 |    NORMAL | Camera
     Receiving:   92 |        1557134390.5254796 |  56906 |    NORMAL | Guard
     Receiving:    9 |        1557134394.3520231 |  56906 |    NORMAL | Guard
     Receiving:   67 |        1557134395.1202912 |  56907 |    NORMAL | Camera
     Receiving:   42 |        1557134399.2168775 |  56907 |    NORMAL | Camera
     Receiving:   28 |         1557134399.323521 |  56906 |    NORMAL | Guard
     Receiving:    8 |        1557134402.0620098 |  56910 |    NORMAL | Sensor
       Warning: Detecting suspicious physcial access attack!!!
     Receiving:   62 |        1557134403.1390662 |  56907 |    NORMAL | Camera
     Receiving:   64 |         1557134403.142058 |  56906 |    NORMAL | Guard
     Receiving:   98 |        1557134406.1580167 |  56910 |    NORMAL | Sensor
     Receiving:   62 |        1557134408.9479444 |  56906 |    NORMAL | Guard
     Receiving:   27 |        1557134409.1640697 |  56907 |    NORMAL | Camera
     Receiving:   49 |        1557134410.7405977 |  56910 |    NORMAL | Sensor
     Receiving:    1 |        1557134412.6777086 |  56906 |    NORMAL | Guard
     Receiving:    6 |        1557134414.2955558 |  56907 |    NORMAL | Camera
     Receiving:   97 |         1557134417.222348 |  56910 |    NORMAL | Sensor
     Receiving:   52 |         1557134418.263086 |  56906 |    NORMAL | Guard
     Receiving:   82 |          1557134420.11715 |  56907 |    NORMAL | Camera
     Receiving:   42 |        1557134422.8676195 |  56910 |    NORMAL | Sensor
Connection to 127.0.0.1 : 56910 is closed

     Receiving:   33 |        1557134423.3782525 |  56906 |    NORMAL | Guard
     Receiving:   39 |        1557134425.3319151 |  56907 |    NORMAL | Camera
Conneted with 127.0.0.1 : 56918
     Receiving:   25 |        1557134428.9476337 |  56906 |    NORMAL | Guard
     Receiving:   93 |        1557134429.5528464 |  56907 |    NORMAL | Camera
     Receiving:   93 |         1557134433.917751 |  56918 |    NORMAL | Sensor
     Receiving:   54 |        1557134434.1251974 |  56906 |    NORMAL | Guard
     Receiving:   53 |        1557134434.4290047 |  56907 |    NORMAL | Camera
     Receiving:    3 |        1557134438.4436643 |  56907 |    NORMAL | Camera
     Receiving:   87 |        1557134438.9452896 |  56918 |    NORMAL | Sensor
     Receiving:   32 |        1557134439.2145667 |  56906 |    NORMAL | Guard
     Receiving:   58 |        1557134443.3541484 |  56907 |    NORMAL | Camera
     Receiving:    9 |        1557134443.4078448 |  56906 |    NORMAL | Guard
     Receiving:   55 |        1557134444.0162103 |  56918 |    NORMAL | Sensor
     Receiving:   56 |        1557134447.6168554 |  56906 |    NORMAL | Guard
     Receiving:   56 |        1557134448.5240867 |  56918 |    NORMAL | Sensor
     Receiving:   32 |        1557134449.4467027 |  56907 |    NORMAL | Camera
     Receiving:   67 |        1557134452.0220292 |  56906 |    NORMAL | Guard
     Receiving:   48 |        1557134453.0478354 |  56907 |    NORMAL | Camera
     Receiving:   71 |         1557134453.795698 |  56918 |    NORMAL | Sensor
     Receiving:    0 |        1557134455.8674266 |  56906 |    NORMAL | Guard
     Receiving:   19 |        1557134457.5333726 |  56918 |    NORMAL | Sensor
     Receiving:   55 |        1557134458.6749556 |  56907 |    NORMAL | Camera
     Receiving:    7 |         1557134462.736415 |  56906 |    NORMAL | Guard
     Receiving:   51 |        1557134463.1640265 |  56907 |    NORMAL | Camera
     Receiving:   73 |        1557134464.4058092 |  56918 |    NORMAL | Sensor
     Receiving:   30 |         1557134468.665768 |  56906 |    NORMAL | Guard
     Receiving:   89 |         1557134468.709651 |  56907 |    NORMAL | Camera
     Receiving:   93 |         1557134473.436059 |  56906 |    NORMAL | Guard
     Receiving:   58 |          1557134475.89749 |  56907 |    NORMAL | Camera
     Receiving:   48 |         1557134478.695594 |  56906 |    NORMAL | Guard
     Receiving:   70 |         1557134480.013979 |  56907 |    NORMAL | Camera
     Receiving:   99 |        1557134482.6789072 |  56906 |    NORMAL | Guard
     Receiving:   50 |        1557134484.7145169 |  56907 |    NORMAL | Camera
     Receiving:   16 |        1557134486.2221751 |  56906 |    NORMAL | Guard
     Receiving:   88 |        1557134487.8069735 |  56907 |    NORMAL | Camera
     Receiving:    2 |        1557134492.5547912 |  56906 |    NORMAL | Guard
     Receiving:   57 |         1557134493.041502 |  56907 |    NORMAL | Camera
     Receiving:   93 |        1557134494.4059732 |  56918 |    NORMAL | Sensor
       Warning: Detecting suspicious physcial access attack!!!
     Receiving:   79 |        1557134496.2825317 |  56906 |    NORMAL | Guard
     Receiving:   82 |         1557134497.216321 |  56907 |    NORMAL | Camera
     Receiving:   55 |         1557134500.706346 |  56918 |    NORMAL | Sensor
     Receiving:   10 |        1557134501.4254491 |  56906 |    NORMAL | Guard
     Receiving:   22 |        1557134501.8712738 |  56907 |    NORMAL | Camera
     Receiving:    6 |         1557134505.986705 |  56918 |    NORMAL | Sensor
Connection to 127.0.0.1 : 56918 is closed

     Receiving:   41 |        1557134507.0332718 |  56906 |    NORMAL | Guard
