Namespace(alive_time=300, middlebox_name='Middlebox device')
Middlebox device
Middlebox device socket is created
Middlebox device socket is succesfully initialized and ready.
Middlebox device is listening...

Conneted with 127.0.0.1 : 56980
Conneted with 127.0.0.1 : 56982
     Receiving:   72 |        1557135088.7091038 |  56980 |    NORMAL | Guard
Conneted with 127.0.0.1 : 56984
Conneted with 127.0.0.1 : 56986
     Receiving:   14 |        1557135093.0940936 |  56982 |    NORMAL | Smartwatch
     Receiving:   96 |         1557135093.665751 |  56984 |    NORMAL | Sensor
     Receiving:   28 |        1557135094.7196844 |  56980 |    NORMAL | Guard
     Receiving:    7 |        1557135097.9049194 |  56986 |    NORMAL | Camera
     Receiving:   43 |        1557135098.9322145 |  56982 |    NORMAL | Smartwatch
     Receiving:   14 |        1557135099.1886084 |  56984 |    NORMAL | Sensor
     Receiving:   24 |        1557135101.2581868 |  56980 |    NORMAL | Guard
     Receiving:   69 |        1557135101.9952667 |  56986 |    NORMAL | Camera
     Receiving:   86 |        1557135103.9328759 |  56984 |    NORMAL | Sensor
     Receiving:   27 |        1557135104.3827763 |  56982 |    NORMAL | Smartwatch
     Receiving:   22 |        1557135106.0656273 |  56980 |    NORMAL | Guard
     Receiving:    3 |        1557135106.3632364 |  56986 |    NORMAL | Camera
     Receiving:   24 |        1557135109.2326288 |  56984 |    NORMAL | Sensor
     Receiving:   96 |        1557135109.4699109 |  56980 |    NORMAL | Guard
     Receiving:   16 |        1557135110.8793805 |  56982 |    NORMAL | Smartwatch
     Receiving:   30 |        1557135112.3913286 |  56986 |    NORMAL | Camera
     Receiving:   41 |        1557135113.5820916 |  56984 |    NORMAL | Sensor
     Receiving:   30 |        1557135114.1954317 |  56980 |    NORMAL | Guard
     Receiving:   48 |        1557135117.5922582 |  56980 |    NORMAL | Guard
     Receiving:   32 |        1557135117.6791039 |  56982 |    NORMAL | Smartwatch
     Receiving:   10 |         1557135118.208895 |  56986 |    NORMAL | Camera
     Receiving:   33 |        1557135118.2964473 |  56984 |    NORMAL | Sensor
     Receiving:   93 |        1557135121.2538338 |  56980 |    NORMAL | Guard
     Receiving:   85 |        1557135123.0427935 |  56986 |    NORMAL | Camera
     Receiving:   20 |          1557135123.04582 |  56982 | SENSITIVE | Smartwatch
       Sending:   20 |          1557135123.04582 |  56982 | SENSITIVE | Smartwatch (-> Guard)
     Receiving:   20 |          1557135123.04582 |  56982 | ENCRYPTED | Guard
     Receiving:   26 |         1557135124.125137 |  56984 |    NORMAL | Sensor
     Receiving:   35 |        1557135125.6130416 |  56980 |    NORMAL | Guard
     Receiving:   76 |        1557135127.8730369 |  56984 |    NORMAL | Sensor
     Receiving:   98 |         1557135127.953819 |  56986 |    NORMAL | Camera
     Receiving:   46 |        1557135129.4659772 |  56982 | SENSITIVE | Smartwatch
       Sending:   46 |        1557135129.4659772 |  56982 | SENSITIVE | Smartwatch (-> Guard)
     Receiving:   46 |        1557135129.4659772 |  56982 | ENCRYPTED | Guard
     Receiving:   86 |        1557135130.2762134 |  56980 |    NORMAL | Guard
     Receiving:   79 |        1557135132.5334573 |  56986 |    NORMAL | Camera
     Receiving:   82 |         1557135134.431913 |  56980 |    NORMAL | Guard
     Receiving:   79 |         1557135134.797747 |  56984 |    NORMAL | Sensor
     Receiving:   23 |         1557135135.292714 |  56982 |    NORMAL | Smartwatch
     Receiving:   66 |        1557135138.4004462 |  56982 |    NORMAL | Smartwatch
     Receiving:   23 |        1557135139.0098555 |  56986 |    NORMAL | Camera
     Receiving:   75 |        1557135140.1700099 |  56980 |    NORMAL | Guard
     Receiving:   17 |        1557135140.9050596 |  56984 |    NORMAL | Sensor
     Receiving:   34 |          1557135142.00053 |  56982 | SENSITIVE | Smartwatch
       Sending:   34 |          1557135142.00053 |  56982 | SENSITIVE | Smartwatch (-> Guard)
